filename;title;year;date;location;citation_raw
IPBES_Business_First_ILK_Dialogue_Report.docx;Report of the first Indigenous and local knowledge dialogue workshop on the IPBES assessment on business and biodiversity: framing the assessments;2023;23-24 September 2023;Bogota, Colombia;IPBES (2023). Edith Bastidas, Johnson Cerda, Q”apaq Conde, Binota Moy Dhamai, Guadalupe Yesenia Hernández Márquez, Cecil Le Fleur, Gathuru Mburu, Sherry Pictou, Novia Sagita, Lucía Xiloj and Durga Yamphu. Report of the first Indigenous and local knowledge dialogue workshop on the IPBES assessment on business and biodiversity: framing the assessments. 23-24 September 2023, Bogota, Colombia.
IPBES_Business_Scoping_ILK_Dialogue_Report.docx;Indigenous and local knowledge dialogue workshop for the scoping report of the IPBES assessment of business and biodiversity;2021;22 and 24 November 2021;Online;IPBES (2021). Emmanuel Agbose Bem, Aliou Bouba, Jocelyn (Joji) Cariño, Vanessa Corunna, Florence Daguitan, Chrissy Grant, Guadalupe Yesenia Hernández Márquez, Kamal Kumar Rai, Hannah Longole, Sherry Pictou and Ruth Spencer. Indigenous and local knowledge dialogue workshop for the scoping report of the IPBES assessment of business and biodiversity. Online, 22 and 24 November 2021.
IPBES_Business_Second_ILK_Dialogue_Report.docx;Report of the second Indigenous and local knowledge dialogue workshop on the IPBES assessment on business and biodiversity: reviewing the first drafts of the assessment;2024;31 July – 2 August 2024;!Khwa ttu San Centre, near Cape Town, South Africa;IPBES (2024). Johnson Cerda, Gakemotho Satau, Celeste Angelique Jackson, Yvette le Fleur, Zagaria Kabinda, Frans Kraalshoek, Elifuraha Laltaika, Pius Loupa, Jakob Makai, Stanley Petersen, Suwichan Phattahanaphraiwan, Polina Shulbaeva, Ramson Sinya Karmushu, Joram Useb. Report of the second Indigenous and local knowledge dialogue workshop on the IPBES assessment on business and biodiversity: reviewing the first drafts of the assessment. 31 July – 2 August 2024, !Khwa ttu San Centre, near Cape Town, South Africa.
IPBES_GA1_First_Arctic_ILK_Dialogue_Report.docx;Report of the Arctic Indigenous Knowledge dialogue workshop of the IPBES Global assessement;2018;June 6-8;Helsinki, Finland;NOT FOUND
IPBES_GA2_First_ILK_Dialogue_Report.docx;Report of the first Indigenous and local knowledge dialogue workshop for the IPBES second global assessment;2025;3-7 November;Windsor, Canada;"IPBES (2025). José Arias-Bustamante, Myrle Ballard, Allison Bishop Evan Bowness, Joji Cariño, Robin Michigiizhigookwe Clark, Q""Apaj Conde, Alexander Duncan, Janessa Esquible, Catherine Febria, Abraham Francis, Maret J. Heatta, Sherilee Harper, Guadalupe Yesenia Hernandez, Mariaelena Huambachano, Mary Beth Jager, Debissa Lemessa, Yolanda López Maldonado, Zhi Lu, Gathuru Mburu, Shiloh Maples, Dawn Martin-Hill, Leigh Mcgaughey, Gabriel Nemogá-Soto, Oluwakemi Abosede Osunderu, Loupa Pius, Maria Elena Regpala, Aibek Samakov, Polina Shulbaeva, Nataliya Stryamets, Brenda Tahi, Krushil Watene and Kyle Whyte. Report of the first Indigenous and local knowledge dialogue workshop on the IPBES second global assessment. 3-7 November, Windsor, Canada. Disclaimer The text in section 3 represents an attempt to reflect solely the views and contributions of the participants in the dialogue. As such, it does not represent the views of IPBES or UNESCO or reflect upon their official positions."
IPBES_GA2_Scoping_ILK_Dialogue_Report.docx;Report of the Indigenous and local knowledge dialogue workshop for the scoping of the second IPBES global assessment;2024;05-Jun-24;Online;IPBES (2024). Wilfredo Alangui, Myrle Ballard, Ramiro Batzin, Joji Cariño, Adelaido Corcino Martinez, Florence Daguitan, Kriss Davies, Sandra C.A. Ferguson, Mohamed Handaine, Guadalupe Yesenia Hernandez Marquez, Aslak Holmberg, Maui Hudson, Ramson Karmushu, Lynn Jacobs, Pius Loupa, Gathuru Mburu, Lucy Mulenkei, Gabriel Nemogá, Kamal Kumar Rai, Miri Raven, Francisco J. Rosado-May, Nick Roskruge, Ndiaga Sall, Cecilio Solís Librado, Vyacheslav Shadrin, Laitia Tamata, Prasert Trakansuphakon, Yeshing Upun, and Geronimo Vega. Report of the Indigenous and local knowledge dialogue workshop for the scoping of the second IPBES global assessment. 5 June 2024, Online.
IPBES_IAS_First_ILK_Dialogue_Report.docx;Report of the first ILK dialogue workshop on the IPBES assessment of invasive alien species;2019;15-16 November 2019;Montreal, Canada;IPBES (2019) Batzin Chojoj, R., Cleofe, J.T., Figueroa, V., Grant, C., Jacobs, L., Martin, C., Masardule O., Mulenkei, L., Sall, N., Shulbaeva, P., Spencer, R., Wanzala, W. Report of the first ILK dialogue workshop on the IPBES assessment of invasive alien species, held in Montreal, Canada, on 15-16 November 2019.
IPBES_IAS_Second_ILK_Dialogue_Report.docx;Report of the ILK dialogue workshop on the first order draft of the IPBES assessment of invasive alien species;2020;29 September to 1 October 2020;Online;IPBES (2020): Andreve, J.L., Batzin Chojoj, R., Black A, Cleofe, J.T., Daguitan, F., Grant, C., Guillao, J.A., Jacobs, L., Malcolm, T., Mulenkei, L., Kumar Rai, K., Nzovu, A., Ole Kaunga, J.M., Regpala, M.E., Sall, N., Shulbaeva, P., Spencer, R., Timoti, P., Upun, Y. (eds.). Report of the ILK dialogue workshop on the first order draft of the IPBES assessment of invasive alien species. Online, 29 September to 1 October 2020.
IPBES_IAS_Third_ILK_Dialogue_Report.docx;Report of the third indigenous and local knowledge dialogue workshop for the IPBES thematic assessment of invasive alien species and their control;2022;1-3 February 2022;Online;IPBES (2022) Report of the third indigenous and local knowledge dialogue workshop for the IPBES thematic assessment of invasive alien species and their control. Online, 1-3 February 2022
IPBES_Monitoring_First_ILK_Dialogue_Report.docx;Report of the first Indigenous and local knowledge dialogue workshop on the IPBES assessment on monitoring biodiversity: framing the assessment;2024;30 November to 1 December 2024;Montreal, Canada;IPBES (2024). Myrle Ballard, Melanie Bateman, Phoenix Combe, Q”apaj Conde, Dave De Vera, Colin Gisiger, Mariaelena Huambachano, Hugo Jabini, Yolanda López-Maldonado, Phoebe Ndiema, Kathy Martha Padluq, Nicholas Rahiri Roskruge, Andika Saputra and Daniel Taukie. Report of the first Indigenous and local knowledge dialogue workshop on the IPBES assessment on monitoring biodiversity: framing the assessment. 30 November to 1 December 2024, Montreal, Canada.
IPBES_Monitoring_Second_ILK_Dialogue_Report.docx;Report of the second Indigenous and local knowledge dialogue workshop on the IPBES monitoring assessment;2025;18 – 22 August 2025;Bardiya, Nepal;"IPBES (2025) Myrle Ballard, Parashuram Chaudhary, Ramila Chaudhary, Biswash Chepang, Q""apaj Conde, Pasang Dolma Sherpa, Preity Gurung, Vidhya Hirachan, Yesenia Hernandez, Mariaelena Huambachano, Johnson Jament, Paulina Karim, Kamal Kumar Rai, Narendra Lama, Roshani Limboo, Loupa Pius, Bhabin Rai, Nick Rahiri Roskruge, Pooja Shrestha, Rodion Sulyandziga. Report of the second Indigenous and local knowledge dialogue workshop on the IPBES monitoring assessment. 18 – 22 August 2025, Bardiya, Nepal."
IPBES_Nexus&TfC_First_ILK_Dialogue_Report.docx;Report of the first indigenous and local knowledge dialogue workshop for the IPBES assessments of the nexus of biodiversity, food, water and health and transformative change: framing the assessments;2022;29 June to 1 July 2022;Bonn, Germany;IPBES (2022) Ramiro Batzin, Q”apaj Conde, Florence Daguitan, Guadalupe Yesenia Hernández Márquez, Aslak Holmberg, Onel Masardule, Kamal Kumar Rai, Hannah Longole, Aehshatou Manu, Sherry Pictou, Maria Elena Regpala, Martha Rosero, Nicholas Roskruge, Polina Shulbaeva and Joram Useb. Report of the first indigenous and local knowledge dialogue workshop for the IPBES assessments of the nexus of biodiversity, food, water and health and transformative change: framing the assessments. 29 June to 1 July 2022, Bonn, Germany
IPBES_Nexus_Second_ILK_Dialogue_Report.docx;Report of the second Indigenous and local knowledge dialogue workshop for the IPBES assessment of the nexus of biodiversity, food, water and health: reviewing the first order draft;2023;17 – 19 January 2023;Chiang Mai, Thailand;IPBES (2023). Joji Cariño, Udom Charenniyomphrai, Florence Daguitan, Guadalupe Yesenia Hernández Márquez, Somphop Jiraphapairot, Edna Kaptoyo, Chupinit Kesmanee, Praewa Narrarakphraiwong, Jorni Odochao, Kamal Kumar Rai, Suwichan Phattanaphraiwan, Chaiprasert Phokha, Sherry Pictou, Loupa Pius Songphonsak Rattanawilailak, Prasit Siri, Lakpa Nuri Sherpa, Polina Shulbaeva, Prayad Suachuchip, Daepho Srivanalapsiri, Yanika Thamoon, Naw Aeri Thungmuangthong, Prasert Trakansuphakon, Dilok Trakulrungamphai, Nai Phakaesaw Wiangchomthong. Report of the second Indigenous and local knowledge dialogue workshop for the IPBES assessment of the nexus of biodiversity, food, water and health: reviewing the first order draft. 17 – 19 January 2023, Chiang Mai, Thailand.
IPBES_Nexus_Third_ILK_Dialogue_Report.docx;Report of the third Indigenous and local knowledge dialogue workshop for the IPBES assessment of the interlinkages among biodiversity, food, water and health: reviewing the first draft of the summary for policymakers and the second drafts of the chapters;2023;28-30 November 2023;Montreal, Canada;IPBES (2023). Q”apaj Conde, Florence Daguitan, Cole Delisle, Guadalupe Yesenia Hernández Márquez, Lynn Jacobs, Kamal Kumar Rai, Polina Shulbaeva and Mariam Wallet Aboubakrine. Report of the third Indigenous and local knowledge dialogue workshop for the IPBES assessment of the interlinkages among biodiversity, food, water and health: reviewing the first draft of the summary for policymakers and the second drafts of the chapters. 28-30 November 2023, Montreal, Canada.
IPBES_SPC_First_ILK_Dialogue_Report.docx;Report of the first Indigenous and local knowledge dialogue workshop on the IPBES assessment of spatial planning and ecological connectivity;2025;18 – 22 August 2025;Bardiya, Nepal;"IPBES (2025). Myrle Ballard, Parashuram Chaudhary, Ramila Chaudhary, Biswash Chepang, Q""apaj Conde, Pasang Dolma Sherpa, Preity Gurung, Vidhya Hirachan, Yesenia Hernandez, Mariaelena Huambachano, Johnson Jament, Paulina Karim, Kamal Kumar Rai, Narendra Lama, Roshani Limboo, Loupa Pius, Bhabin Rai, Nick Rahiri Roskruge, Pooja Shrestha, Rodion Sulyandziga. Report of the first Indigenous and local knowledge dialogue workshop on the IPBES assessment of spatial planning and ecological connectivity. 18 – 22 August 2025, Bardiya, Nepal."
IPBES_Scenarios_First_ILK_Dialogue_Report.docx;Report of the indigenous and local knowledge dialogue workshop on scenarios and the Nature Futures Framework;2021;19-Oct-21;Online;IPBES (2021) Report of the indigenous and local knowledge dialogue workshop on scenarios and the Nature Futures Framework. Online, 28-30 September 2021 and 19 October 2021.
IPBES_Scenarios_Third_ILK_Dialogue_Report.docx;Report of the Indigenous and local knowledge dialogue workshop on Scenarios of the future;2025;23-26 May 2025;Subic Bay, the Philippines;IPBES (2025). Wilfredo Vidal Alangui, Myrle Ballard, Rande C. Bayate, Jill Cariño, Joji Cariño, Adelaido Corcino, Bolivia Delgado, Dave De Vera, Binota Moy Dhamai, Catherine Febria, Elisabeth Gilmore, Mariaelena Huambachano, Mochamad Indrawan, Alice Zione Kammwamba, Sylvia Karlsson-Vinkhuyzen, Zhinal Kinoc, Despina Kitnova, Abigail Kitma, Mahdi Kolahi, Paulina Karim, Maritess Literal, Carolyn Lundquist, Yesenia Hernández Márquez, Onel Masadule, Alice Mathew, Ryan S. Mohammed, Lucy Mulenkei, Melissa Nursey-Bray, Karin Nutti Pilflyky, Ismael Ocen, Ramon de la Concepcion Pichs-Madruga, Sam Poskitt, Teriitutea Quesnot, Sakshi Rana, Maria Elena Regpala, Sandi Ringham, Nick Rahiri Roskruge, Thomas Schmitt, Polina Shulbaeva, Josefa Cariño Tauli and Nutdanai Trakansuphakon. Report of the Indigenous and local knowledge dialogue workshop on Scenarios of the future. 23-26 May 2025, Subic Bay, the Philippines.
IPBES_SustainableUse_First_ILK_Dialogue_Report.docx;Report of the first ILK dialogue workshop for the IPBES assessment of the sustainable use of wild species;2019;6-7 May 2019;Paris, France;IPBES (2019) Daguitan F., Eduardo da Silva F.P., Figueroa V., Hernández Márquez G.Y., Kaptoyo E., Kozanayi W., Nuri Sherpa L., Pictou S., Shadrin V., Shulbaeva P., Springer H.K., Stryamets N., Tima T.T., Thevenin T., Trakansuphakon P. Report of the first ILK dialogue workshop for the IPBES assessment of the sustainable use of wild species, held in Paris, France, on 6-7 May 2019.
IPBES_SustainableUse_Second_ILK_Dialogue_Report.docx;Report of the ILK dialogue workshop for the first order draft of the IPBES assessment of the sustainable use of wild species;2019;8-9 October 2019;Montreal, Canada;IPBES (2019) Dicker J., Figueroa V., Hernández Márquez G.Y., Jacobs L., Kozanayi W., Mulenkei L., Pictou S., Nuri Sherpa L., Shulbaeva P., Shadrin V., Springer H.K., Stryamets N., Trakansuphakon P. Report of the ILK dialogue workshop for the first order draft of the IPBES assessment of the sustainable use of wild species, held in Montreal, Canada, on 8-9 October 2019.
IPBES_SustainableUse_Third_ILK_Dialogue_Report.docx;Report of the ILK dialogue workshop on the draft summary for policymakers and second order draft of the chapters of the IPBES assessment of the sustainable use of wild species;2021;17-21 May 2021;Online;IPBES (2021) Report of the ILK dialogue workshop on the draft summary for policymakers and second order draft of the chapters of the IPBES assessment of the sustainable use of wild species. Online, 17-21 May 2021.
IPBES_TfC&Scenarios_Second_ILK_Dialogue_Report.docx;Report of the second Indigenous and local knowledge dialogue workshop on the IPBES assessment of transformative change and scenarios of the future: reviewing the first draft of the assessment;2023;13-16 February 2023;Leticia, Colombia;IPBES (2023). Devi Anggraini, Edith Magnolia Bastidas Calderon, Ramiro Batzin, Julio Bombare, Cristina Coc, Q”apaj Conde, Mateo Estrada Cordoba, Julio César Estrada, Viviana Figueroa, Yesenia Hernandez, Hannah Longole, Onel Masardule, Hénry Negedeka, Sherry Pictou, Diana Quintero Rodríguez, Martha Rosero, Nick Roskruge, Darío Silva, Rodion Sulyandziga and Pirawan Wongnithisathaporn. Report of the second Indigenous and local knowledge dialogue workshop on the IPBES assessment of transformative change and scenarios of the future: reviewing the first draft of the assessment. 13-16 February 2023, Leticia, Colombia.
IPBES_TfC_Third_ILK_Dialogue_Report.docx;Report of the third Indigenous and local knowledge dialogue workshop on the IPBES assessment of transformative change: reviewing the first draft of the summary for policymakers and second drafts of the chapters;2023;13-15 December 2023;Agadir, Morocco;IPBES (2023). Khalid Aayoud, Sabri Abdhallah, Yacine Abdelaziz, Ayoub Achbaro, Ijjou Arjdal, Zahia Bachir, Vital Bambaze, Malika Boutaleb, Lahcen Boukerdi, Kaoutar Caidi, Q”apaj Conde, Hicham El-Mastouri Guadalupe Yesenia Hernandez Marquez, Mariaelena Huambachano, Aslat Holmberg, Jamila Id Bourous, Lekishon Kanyinke, Boujid Khadija, Benbihi Lobna, Akounad Mohamed, Handaine Mohamed, Ouhmou Mohamed, Madbouhi Mustapha, Youba Ouberka, Jamila Raissi, Rachida Rachid and Nick Roskruge. Report of the third Indigenous and local knowledge dialogue workshop on the IPBES assessment of transformative change: reviewing the first draft of the summary for policymakers and second drafts of the chapters. 13-15 December 2023, Agadir, Morocco.
IPBES_Values_First_ILK_Dialogue_Report.docx;Report of the first ILK dialogue workshop for the IPBES assessment of the diverse conceptualizations of multiple values of nature: framing the assessment;2019;20-21 March 2019;UNESCO Headquarters, Paris;IPBES (2019), Cariño J., Figueroa V., Hernández Márquez G.Y., Huambachano M., Ibrahim H., Llanque A., Staffansson J., Sulyandziga R. and Trakansuphakon P., Report of the first ILK dialogue workshop for the IPBES assessment of the diverse conceptualizations of multiple values of nature: framing the assessment, held 20-21 March 2019, UNESCO Headquarters, Paris.
IPBES_Values_Second_ILK_Dialogue_Report.docx;Report of the second ILK dialogue workshop the IPBES assessment of the diverse conceptualizations of multiple values of nature: reviewing the first order draft;2019;10-11 September 2019;Capulálpam de Méndez, Oaxaca, Mexico;IPBES (2019) Arreourtua N., Daguitan F., Figueroa V., Hernández Márquez G.Y., Lengoisa J.S., Yin L., Shadrin V., Torres Morales A., Trakansuphakon P., Viteri Walinga Y.F. Report of the second ILK dialogue workshop the IPBES assessment of the diverse conceptualizations of multiple values of nature: reviewing the first order draft, held in 10-11 September 2019, Capulálpam de Méndez, Oaxaca, Mexico.
IPBES_Values_Third_ILK_Dialogue_Report.docx;Report of the third ILK dialogue workshop for the IPBES values assessment: reviewing the draft summary for policymakers and second order draft of the assessment;2021;16-19 February 2021;Online;IPBES (2021) Report of the third ILK dialogue workshop for the IPBES values assessment: reviewing the draft summary for policymakers and second order draft of the assessment. Online, 16-19 February 2021.
