filename;doi;include_all;section_heading;heading_level;status;notes
IPBES_GA1_First_Arctic_ILK_Dialogue_Report.docx;10.5281/ZENODO.21792090;1;;;confirmed;All sections selected
IPBES_Values_Third_ILK_Dialogue_Report.docx;10.5281/ZENODO.21333887;0;Overarching recommendations and learning from the dialogue;1;confirmed;
IPBES_Values_Third_ILK_Dialogue_Report.docx;10.5281/ZENODO.21333887;0;Regional discussions and examples;1;confirmed;
IPBES_Values_Second_ILK_Dialogue_Report.docx;10.5281/ZENODO.21333513;0;Key recommendations and learning from the dialogue;1;confirmed;
IPBES_Values_Second_ILK_Dialogue_Report.docx;10.5281/ZENODO.21333513;0;Final Reflections and Recommendations to the Values Assessment: Report Back from the Indigenous Peoples’ Caucus;1;confirmed;
IPBES_Values_Second_ILK_Dialogue_Report.docx;10.5281/ZENODO.21333513;0;Conclusions;1;confirmed;
IPBES_Values_First_ILK_Dialogue_Report.docx;10.5281/ZENODO.21791444;0;Executive Summary;1;confirmed;
IPBES_Values_First_ILK_Dialogue_Report.docx;10.5281/ZENODO.21791444;0;Chapter-specific recommendations from the dialogue;1;confirmed;
IPBES_SustainableUse_Third_ILK_Dialogue_Report.docx;10.5281/ZENODO.21281475;0;Overarching recommendations and learning from the dialogue;1;confirmed;
IPBES_SustainableUse_Third_ILK_Dialogue_Report.docx;10.5281/ZENODO.21281475;0;Regional discussions and examples;1;confirmed;
IPBES_SustainableUse_Second_ILK_Dialogue_Report.docx;10.5281/ZENODO.21791207;0;Key recommendations and learning from the dialogue;1;reviewed;headings were incorrectly formatted
IPBES_SustainableUse_Second_ILK_Dialogue_Report.docx;10.5281/ZENODO.21791207;0;Conceptualizing the sustainable use of wild species;1;reviewed;headings were incorrectly formatted
IPBES_SustainableUse_Second_ILK_Dialogue_Report.docx;10.5281/ZENODO.21791207;0;Status and trends, drivers and future scenarios of the sustainable use of wild species;1;reviewed;headings were incorrectly formatted
IPBES_SustainableUse_Second_ILK_Dialogue_Report.docx;10.5281/ZENODO.21791207;0;Policy options and responses;1;reviewed;headings were incorrectly formatted
IPBES_SustainableUse_First_ILK_Dialogue_Report.docx;10.5281/ZENODO.21774836;0;Overarching Recommendations from the Dialogue;1;reviewed;headings were incorrectly formatted
IPBES_SustainableUse_First_ILK_Dialogue_Report.docx;10.5281/ZENODO.21774836;0;Chapter-Specific Recommendations from the Dialogue;1;reviewed;headings were incorrectly formatted
IPBES_IAS_Third_ILK_Dialogue_Report.docx;10.5281/ZENODO.21280449;0;Key recommendations and learning from the dialogue;1;confirmed;
IPBES_IAS_Second_ILK_Dialogue_Report.docx;10.5281/ZENODO.21280216;0;Key recommendations and learning from the dialogue;1;confirmed;
IPBES_IAS_Second_ILK_Dialogue_Report.docx;10.5281/ZENODO.21280216;0;Case studies;1;confirmed;
IPBES_IAS_First_ILK_Dialogue_Report.docx;10.5281/ZENODO.21222515;0;Key recommendations and learning from the dialogue;1;confirmed;
IPBES_IAS_First_ILK_Dialogue_Report.docx;10.5281/ZENODO.21222515;0;Case studies;1;confirmed;
IPBES_Scenarios_Third_ILK_Dialogue_Report.docx;10.5281/ZENODO.21771828;0;Learning and recommendations from the dialogue workshop;1;confirmed;
IPBES_Scenarios_First_ILK_Dialogue_Report.docx;10.5281/ZENODO.21771324;0;Overarching recommendations from the dialogue on the Nature Futures Framework and its methodological guidance;1;confirmed;
IPBES_Scenarios_First_ILK_Dialogue_Report.docx;10.5281/ZENODO.21771324;0;Narratives from the three regions;1;confirmed;
IPBES_Scenarios_First_ILK_Dialogue_Report.docx;10.5281/ZENODO.21771324;0;Regional discussions;1;confirmed;
IPBES_TfC_Third_ILK_Dialogue_Report.docx;10.5281/ZENODO.21221576;0;Key recommendations and learning from the dialogue workshop;1;confirmed;
IPBES_TfC&Scenarios_Second_ILK_Dialogue_Report.docx;10.5281/ZENODO.21218040;0;Key recommendations and learning from the dialogue workshop;1;confirmed;
IPBES_Nexus&TfC_First_ILK_Dialogue_Report.docx;10.5281/ZENODO.21128424;0;Overarching recommendations for the assessments;1;confirmed;
