filename,doi
2018 - Report of the Arctic Indigenous Knowledge dialogue workshop of the IPBES Global assessement.pdf,10.5281/ZENODO.21792090
2019 - First Indigenous and local knowledge dialogue workshop for the IPBES assessment on the sustainable u.pdf,10.5281/ZENODO.21774836
2019 - Report from the second ILK dialogue for the IPBES assessment of values of nature.pdf,10.5281/ZENODO.21333513
2019 - Report from the second ILK dialogue workshop for the IPBES assessment of the sustainable use of wild.pdf,10.5281/ZENODO.21791207
2019 - Report of the first ILK dialogue workshop for the IPBES values assessment.pdf,10.5281/ZENODO.21791444
2019 - Report of the first indigenous and local knowledge dialogue workshop for the IPBES assessment of inv.pdf,10.5281/ZENODO.21222515
2020 - Report of the indigenous and local knowledge dialogue workshop for the first order draft of the IPBE.pdf,10.5281/ZENODO.21280216
2021 - Report of the Indigenous and local knowledge dialogue workshop for the draft scoping report of the I.pdf,10.5281/ZENODO.21770129
2021 - Report of the indigenous and local knowledge dialogue workshop for the draft summary for policymaker.pdf,10.5281/ZENODO.21281475
2021 - Report of the indigenous and local knowledge dialogue workshop on scenarios and the Nature Futures F.pdf,10.5281/ZENODO.21771324
2021 - Report of the third ILK dialogue workshop of the IPBES values assessment.pdf,10.5281/ZENODO.21333887
2022 - Report of the first indigenous and local knowledge dialogue workshop for the IPBES assessments of th.pdf,10.5281/ZENODO.21128424
2022 - Report of the third indigenous and local knowledge dialogue workshop for the IPBES assessment of inv.pdf,10.5281/ZENODO.21280449
2023 - Report of the Indigenous and local knowledge dialogue workshop for the first draft of the IPBES nexu.pdf,10.5281/ZENODO.21158535
2023 - Report of the second Indigenous and local knowledge dialogue workshop for the IPBES transformative c.pdf,10.5281/ZENODO.21218040
2023 - Report of the third Indigenous and local knowledge dialogue workshop for the IPBES nexus assessment.pdf,10.5281/ZENODO.21217176
2023 - Report of the third Indigenous and local knowledge dialogue workshop for   the IPBES transformative.pdf,10.5281/ZENODO.21221576
2024 - Report of the first Indigenous and local knowledge dialogue workshop for the IPBES assessment on mon.pdf,10.5281/ZENODO.21334783
2024 - Report of the Indigenous and local knowledge dialogue workshop for the scoping of the second IPBES g.pdf,10.5281/ZENODO.21770693
2024 - Report of the second Indigenous and local knowledge dialogue workshop for the IPBES business and bio.pdf,10.5281/ZENODO.21106298
2025 - Report of the Indigenous and local knowledge dialogue workshop for the IPBES assessment of spatial p.pdf,10.5281/ZENODO.21026252
2025 - Report of the IPBES Indigenous and local knowledge dialogue workshop on scenarios of the future.pdf,10.5281/ZENODO.21771828
2025 - Report of the second Indigenous and local knowledge dialogue workshop for the IPBES monitoring asses.pdf,10.5281/ZENODO.21771018
2026 - Report of the first Indigenous and local knowledge dialogue workshop for the IPBES business and biod.pdf,10.5281/ZENODO.21063493
2026 - Report of the first Indigenous and local knowledge dialogue workshop for the IPBES second global ass.pdf,10.5281/ZENODO.21062572
